,precision,recall,f1-score,support
Billing inquiry,0.2251655629139073,0.20795107033639143,0.21621621621621623,327.0
Cancellation request,0.20728291316526612,0.2182890855457227,0.21264367816091953,339.0
Product inquiry,0.21241830065359477,0.19817073170731708,0.20504731861198738,328.0
Refund request,0.1984732824427481,0.2222222222222222,0.20967741935483872,351.0
Technical issue,0.22321428571428573,0.2148997134670487,0.21897810218978103,349.0
accuracy,0.21251475796930341,0.21251475796930341,0.21251475796930341,0.21251475796930341
macro avg,0.21331086897796042,0.2123065646557404,0.2125125469067486,1694.0
weighted avg,0.2131860431534488,0.21251475796930341,0.21255287010730123,1694.0
